usrName,firstName,lastName,usrPassword,salt,empNo
cquez2,Carley,Quezada,d4bc2a50acd22d6cd6b4ff513dbfec79ca4c0306c9f43ae8e8f055baaeddde68d0671acc501f8d77973d659ec61b8430a18e9654f1471f9cb0b9f1d1e32938fd,Zh@9Jt@2Hn*1Et&4Cf#9Xc&7Pk$2Zq*7,27
schar1,Samantha,Charles,99061ea2ee35902de87a6a00c7f991b810243f881f16db9a134f71fee9afaa2394e615036db58161ef898c02f0fb75e04db5e2bf5764d57f529bb1f6dd854e6d,Nr?6Nw*0Zp$9Ts*6Df#2Li#7Xm!0Xf#9,21
cquez3,Carley,Quezada,a1fdc521b8913ae8abd85b7ce2391903a3d16faab25f8bff8dc3a166270b30bb1dc9e85a5075103617b841ffeb320376dc20f13c27cced0736f4ab26934d2778,Ds@0Ne%4Bk!6Pq?8Xc@9Ad&6Ra$1Vq%1,32
schar4,Samantha,Charles,1e12042423402430046370604b5800046024c24a46f8ac09ccbc899460684186bbacb0a503ebba66c0228fdd4204072d20d91807f114c7748fd870b3c640a753,Ru&9Ei&0Ng&9Vg%4Wh%9Gd@2Ea%6Bd?8,36
cquez1,Carley,Quezada,4099c2b291e73e3b2f070fc489fa324856affd5f9de9fb31ec71f1051f6d8c41b217d8411563a29ba5d4d1a4b31931da99ad687e92b6785ae8c421ffb142e89f,Do&8Qp@4Wa#6Zk%8Ww!4Rl!7Zb!9Up$6,22
schar3,Samantha,Charles,6e757e9348fa99e92c791a7efb0723124fce3e7e25b56cd02d22832a3269265496ecba4cb5abeb48e5599f4befbc436a82105b9819515a8fbcc2bd8a2ab26238,Un$3Ff%2Au!2Oq$4Xv?9Ze#0Ml%0Il%4,31
null,Carley,Quezada,603d27f636079f98cc3867a07898f4367e01930b7b8b3a0622716e4afb45487975ccf1977d3cc0bf523e56f447bd6e9194d9722057736207a0e2294cfbd5e82c,Qy*1Eg@7Dm!0Wf?9Hm!4Ih&6Sn#4Bw%7,17
cguti1,Christina,Gutierrez,a7bc065c3c658a550ab21894ae52ebad67b76a962cb012cc7820d1044e6a32b8ad37dbd55025965f810555dd6c15377a8b3e30759dd27f94c8bed9c0151bbecc,Nb!1Wt#7Bq#7Ui*4On@4Sz%9Tu@5Dp&6,24
cguti4,Christina,Gutierrez,ab19e85711cdb51dd4a2e68453460a8fd7f86e6241c9a81f6255dd2fcada8323c0bec432a46e76740b77821781ef663ab46dbf14d4cd5aecffd2155e5ebe8caf,Uv!1Ib!4Qj?3Ii!5Rq?0Qg#1Of@3Kg&1,39
cguti2,Christina,Gutierrez,b1129a83cea9eac3fdcedd860fa3d3221955dfe838f70815820861d038b6ee260f93e823a2e115739e0e6021dee09fdf74b520668d8ceaee62bc703fd812f264,Ct$7Ab$6Of@3Xo!8Bv$0Ts@6Sz*5Dt@4,29
cguti3,Christina,Gutierrez,be8da61321f5f6a6e09860cffdd8a96ec9c77e9b2500a0c3579b085259df7cea87e2e4bd91e160ff30b9f3bb0325ec9bed152354c8a9da7fdb28f801b2e75b09,Mp#9Mh%8Zo&0Zj%5Rx$7Zm!4Gr!8Qa*4,34
